castarttitle.2;Tsaa's Last Testament;;;;;;;;;;;;;x
castartdesc.2;After a long and succesful life, [Root.GetTitledName] lies on his deathbed. The first haida King of Vancovuer since the divergence of the twin kingdoms, Tsaa has had to fend off both pagans to the east and south. However, Tsaa's son and chosen heir Skaaxwad has died, leaving you with a difficult decision.\n \n Your second son, Hluuwee, has no ambition to unite with the true Haida to the north. He speaks of embracing the old local Coast salish culture, to apease the natives, even embracing the Cancuks. Some even claim that he has no interest in the fairer sex, and could never produce an heir. He surely would lead the realm to collapse.;;;;;;;;;;;;;x
castartoptA.2;Perhaps my grandson Gidansda could rule?;;;;;;;;;;;;;x

castartdesc.3;Gidansda is the son of Skaaxwad, and shares his ambition. He despises the heathenous canucks wiht their hockey worhips. He speaks of the permanent unification of the haida people under one Haida empire. However, he holds no legal right to inherit the kingdom of Januug Tlagaang, and to do so would surely upset the nobles of the realm.\n \n It is up to Tsaa who will lead Januug Tlagaang into the future.;;;;;;;;;;;;;x
castartoptA.3;Regardless of law, Gidansda shall unite the Haida!;;;;;;;;;;;;;x
castartoptB.3;Law must prevail, and perhaps Hluuwee is more competant than he seems.;;;;;;;;;;;;;x

castarttitle.4;The Ascension of Hluuwee;;;;;;;;;;;;;x
castartdesc.4;With your inehritence of the throne of Januug Tlagaang, you have begun the process of encouraging the ancient cultures of the Coast Salish. Said to inhabit the land from Vancouver island to Lincoln before the Haida and Canuck, encouraging this identity would help seperate the kindgom from our nothern haida Neighbours. Many of your vassals who were nominally haida, but already praticed their own local cultures, have been happy to take on these new identities. Perhaps this is due to a genuine new identity, or perhaps it is an attempt to distance themselves from the more violent haida to the north. These new Coast salish vassals are petitioning me to push further south and reclaim there ancient land.;;;;;;;;;;;;;x
castartoptA.4;The oppression of the Coast Salish is no more.;;;;;;;;;;;;;x

castarttitle.6;Birds of a Feather;;;;;;;;;;;;;x
castartdesc.6;With the birth of the new, more tolerant culture, I have finally been able to embrace my sexuality. Now, I have accomplished something no Haida ruler ever could by marrying a man. In a magnificant ceremony in the floral gorund of Victoria I was wed. Many of my subjects rejoiced, but some were not so happy. Chief among them is Gidansda, my cousin, who sent an envoy who claims that if I were to adopt a child he would no longer recognize me as the true King of Januug Tlagaang. He has many supporters of the haida who oppose the changes, and perhaps it is best not to provoke them. Though without an heir it is unclear how much the current reforms will continue.;;;;;;;;;;;;;x
castartoptA.6;I will adopt a son and continue my legacy.;;;;;;;;;;;;;x
castartoptB.6;Perhaps Gidansda is right.;;;;;;;;;;;;;x

castarttitle.7;A Step Too Far;;;;;;;;;;;;;x
castartdesc.7;Your imputent uncle King Hluuwee has adopted a son, taking you out of direct succesion. This, combined with his reforms and abandonement of the haida culture is a step too far. Already many staunch Haida have gathered to my court, begging me to take the throne of Haida Tlagaang. Soon it will be time to retake the rightful place of the haida. ;;;;;;;;;;;;;x
castartoptA.7;All the coast shall be Haida!;;;;;;;;;;;;;x

castarttitle.8;Stirring to the West;;;;;;;;;;;;;x
castartdesc.8;After the death of Tsaa, a powerstruggle has consumed the kingdom of Vancouver to the West. Now, following the persecution of canucks and rinkites alike, many peasents and nobles have fled to my court. They are pleading your me to retake my possesions and secure them a home free of persecution.;;;;;;;;;;;;;x
castartoptA.8;We will strike when the time is right.;;;;;;;;;;;;;x

castarttitle.9;The Haida Rebellion;;;;;;;;;;;;;x
castartdesc.9;After hearing my decision to adopt a child, many diehard Haida warriors have flocked to my jealous nephew Gidansda. Emboldened, he has declared war demanding I resign. Even worse, whsipers from the east tell of the return of the canucks, whising to reclaim their ancient land.;;;;;;;;;;;;;x
castartoptA.9;Oh bother.;;;;;;;;;;;;;x

castarttitle.10;An opportunity;;;;;;;;;;;;;x
castartdesc.10;The war to the west has begun, and now is the perfect time to strike. If I do not push our claim for Vancouver now it is unlikely anyone will recognize it in the future.;;;;;;;;;;;;;x
castartoptA.10;To war!;;;;;;;;;;;;;x
castartoptB.10;Perhaps this isn't such a good idea.;;;;;;;;;;;;;x

castarttitle.11;Resurgence;;;;;;;;;;;;;x
castartdesc.11;Though my apppointement by my father was controversial, most Haida nobles have supported me because of the questionable views of my uncle. This support is conditional, however, onmy atttempt to reunify the haida world. Failing to do so would surely anger my existing supporters, but it is a daunting task.;;;;;;;;;;;;;x
castartoptA.11;We will march north!;;;;;;;;;;;;;x
castartoptB.11;Perhaps this isn't such a good idea.;;;;;;;;;;;;;x

castarttitle.12;Stirring to the South;;;;;;;;;;;;;x
